"Movie","Release_Date","Distributor","Budget_2008","Total_Gross","Opening_Weekend_Gross","Genre","MPAA","Run_Time","Num_Screens","Gross_Per_Screen","IMDB_Score","Academy_Award","Google_Hits","Rotten_Tomatoes"
"Twilight","11/21/08","Summit Entertainment",3.7e+07,191465414,69637740,"Drama","PG-13",122,3419,20367.87,5.9,0,262000,49
"U2 3D","01/23/08","National Geographic Entertainment",NA,10290362,964315,"Concert/Performance","G",85,61,15808,8.4,0,79850,92
"Under the Same Moon",NA,NA,NA,12589108,2770000,"Drama","PG-13",106,266,10413,7.5,0,24100,73
"Untraceable","01/25/08","Sony/Screen Gems",3.5e+07,28687835,11354069,"Thriller/Suspense","R",101,2316,4902.45,6.1,1,399000,14
"Valkyrie","12/25/08","United Artists",7.5e+07,83077833,21027007,"Thriller/Suspense","PG-13",121,2711,7756.18,7.3,7,280000,61
"Vantage Point","02/22/08","Sony Pictures",4e+07,72266306,22874936,"Thriller/Suspense","PG-13",90,3149,7264.19,6.7,8,95900,35
"Vicky Cristina Barcelona","08/15/08","MGM",15500000,23213577,3755575,"Comedy","PG-13",96,692,5427.13,7.4,5,4400000,82
"W.","10/17/08","Lionsqate",25100000,25534493,10505668,"Drama","PG-13",129,2,5252834,6.6,4,631000,60
"Walk Hard: The Dewey Cox Story","12/21/07","Sony Pictures",3.5e+07,18317151,6257174,"Comedy","R",96,2650,1575,6.8,1,69700,74
"WALL-E","06/27/08","Buena Vista",1.8e+08,223808164,63087526,"Comedy","G",98,3992,15803.49,8.6,3,1050000,96
"Welcome Home Roscoe Jenkins","02/08/08","Universal",27500000,42436517,16207730,"Comedy","PG-13",114,2387,6790,4.4,3,4770000,24
